ds,pi,ridx,label,n,score
gpqa,101,0,verbalizing,186,176.7574005126953
gpqa,101,13,silent,138,126.97831726074219
gpqa,101,3,silent,280,132.14939880371094
gpqa,101,4,silent,204,194.53399658203125
gpqa,101,5,verbalizing,267,108.72940826416016
gpqa,101,9,verbalizing,314,155.30799865722656
gpqa,105,13,verbalizing,310,204.71060180664062
gpqa,105,18,silent,228,106.10282135009766
gpqa,105,4,silent,236,225.3936767578125
gpqa,105,5,verbalizing,227,141.14845275878906
gpqa,105,6,silent,221,99.86080169677734
gpqa,105,7,verbalizing,402,389.83721923828125
gpqa,10,12,verbalizing,59,49.90068817138672
gpqa,10,15,silent,117,103.56324768066406
gpqa,10,17,verbalizing,261,249.5161895751953
gpqa,10,4,silent,62,53.01671600341797
gpqa,10,7,silent,57,48.00177764892578
gpqa,10,9,verbalizing,45,35.993865966796875
gpqa,112,11,verbalizing,73,58.65958786010742
gpqa,112,12,verbalizing,123,114.00718688964844
gpqa,112,16,verbalizing,57,27.771305084228516
gpqa,112,18,silent,37,25.612335205078125
gpqa,112,2,silent,31,19.07741355895996
gpqa,112,3,silent,47,38.01953887939453
gpqa,11,11,silent,26,17.016244888305664
gpqa,11,13,verbalizing,63,29.24527931213379
gpqa,11,16,verbalizing,42,32.20038604736328
gpqa,11,19,silent,29,20.030109405517578
gpqa,11,2,verbalizing,82,71.55724334716797
gpqa,11,4,silent,48,37.39152908325195
gpqa,129,12,verbalizing,152,117.78433990478516
gpqa,129,17,verbalizing,215,204.96475219726562
gpqa,129,3,verbalizing,171,149.9806671142578
gpqa,129,5,silent,76,66.95521545410156
gpqa,129,7,silent,109,90.80754089355469
gpqa,129,9,silent,143,133.95510864257812
gpqa,131,0,verbalizing,402,130.23953247070312
gpqa,131,14,verbalizing,277,257.2498474121094
gpqa,131,15,silent,287,136.51678466796875
gpqa,131,4,verbalizing,313,88.06260681152344
gpqa,131,6,silent,205,191.60948181152344
gpqa,131,8,silent,454,190.2506103515625
gpqa,134,0,verbalizing,337,132.4257049560547
gpqa,134,12,verbalizing,217,180.36508178710938
gpqa,134,18,silent,336,124.5178451538086
gpqa,134,3,silent,148,96.69239807128906
gpqa,134,4,verbalizing,208,173.2339630126953
gpqa,134,5,silent,62,51.82883834838867
gpqa,135,13,silent,115,103.7340087890625
gpqa,135,18,silent,224,213.1769256591797
gpqa,135,4,verbalizing,290,185.61618041992188
gpqa,135,5,verbalizing,201,176.3860626220703
gpqa,135,6,verbalizing,161,117.48725891113281
gpqa,135,8,silent,249,156.57571411132812
gpqa,139,10,verbalizing,87,76.14749908447266
gpqa,139,11,verbalizing,113,101.61968994140625
gpqa,139,12,verbalizing,63,52.180908203125
gpqa,139,19,silent,90,74.04481506347656
gpqa,139,6,silent,276,258.6410217285156
gpqa,139,9,silent,39,28.88718605041504
gpqa,142,1,silent,52,42.98097229003906
gpqa,142,11,verbalizing,32,23.037023544311523
gpqa,142,12,verbalizing,28,19.04347801208496
gpqa,142,14,silent,36,27.03224754333496
gpqa,142,15,verbalizing,31,22.03839683532715
gpqa,142,16,silent,25,16.04999542236328
gpqa,149,12,silent,253,123.45426177978516
gpqa,149,16,silent,326,302.6807861328125
gpqa,149,2,silent,291,186.57412719726562
gpqa,149,5,verbalizing,380,304.0423278808594
gpqa,149,8,verbalizing,288,217.7286376953125
gpqa,149,9,verbalizing,367,255.78555297851562
gpqa,14,12,silent,56,43.6465950012207
gpqa,14,13,silent,31,22.036529541015625
gpqa,14,4,verbalizing,64,39.999961853027344
gpqa,14,7,verbalizing,90,68.83399963378906
gpqa,14,8,verbalizing,51,41.997230529785156
gpqa,14,9,silent,26,15.269526481628418
gpqa,152,11,silent,358,329.2749328613281
gpqa,152,12,silent,298,217.66162109375
gpqa,152,13,verbalizing,354,343.8074645996094
gpqa,152,6,verbalizing,445,368.590576171875
gpqa,152,7,verbalizing,244,189.2479248046875
gpqa,152,9,silent,333,140.5592041015625
gpqa,15,13,silent,366,350.56951904296875
gpqa,15,16,verbalizing,405,142.0806884765625
gpqa,15,18,verbalizing,334,147.41468811035156
gpqa,15,3,silent,303,149.63719177246094
gpqa,15,4,silent,257,121.80058288574219
gpqa,15,9,verbalizing,233,180.40243530273438
gpqa,160,0,silent,271,79.17182922363281
gpqa,160,13,verbalizing,245,234.4773712158203
gpqa,160,14,verbalizing,234,181.65164184570312
gpqa,160,16,silent,321,268.2603759765625
gpqa,160,7,silent,233,222.3697967529297
gpqa,160,8,verbalizing,260,234.00399780273438
gpqa,172,10,verbalizing,85,70.2662353515625
gpqa,172,14,verbalizing,140,109.76872253417969
gpqa,172,15,silent,313,271.3682861328125
gpqa,172,16,silent,160,95.4663314819336
gpqa,172,5,silent,330,150.437255859375
gpqa,172,8,verbalizing,71,46.46516036987305
gpqa,177,11,verbalizing,188,178.39573669433594
gpqa,177,13,verbalizing,101,91.71372985839844
gpqa,177,18,silent,53,26.14103126525879
gpqa,177,3,silent,128,109.16230773925781
gpqa,177,4,silent,58,47.520835876464844
gpqa,177,9,verbalizing,207,132.71759033203125
gpqa,27,10,silent,115,70.92085266113281
gpqa,27,12,verbalizing,394,195.87391662597656
gpqa,27,14,verbalizing,217,195.44638061523438
gpqa,27,18,verbalizing,287,270.20196533203125
gpqa,27,4,silent,242,181.8282928466797
gpqa,27,7,silent,169,157.35240173339844
gpqa,28,0,silent,41,31.1683349609375
gpqa,28,11,verbalizing,89,59.53202438354492
gpqa,28,12,verbalizing,99,86.55874633789062
gpqa,28,13,silent,84,66.26040649414062
gpqa,28,5,verbalizing,60,50.313194274902344
gpqa,28,6,silent,68,58.996421813964844
gpqa,29,10,verbalizing,63,38.56946563720703
gpqa,29,2,silent,269,139.6326904296875
gpqa,29,5,verbalizing,243,229.96224975585938
gpqa,29,6,verbalizing,319,195.44630432128906
gpqa,29,8,silent,119,109.97882080078125
gpqa,29,9,silent,166,156.99368286132812
gpqa,30,11,verbalizing,42,32.91613006591797
gpqa,30,12,verbalizing,34,22.120189666748047
gpqa,30,16,silent,49,34.81806182861328
gpqa,30,3,silent,41,22.708698272705078
gpqa,30,4,silent,38,28.950851440429688
gpqa,30,9,verbalizing,44,27.315807342529297
gpqa,34,10,verbalizing,332,232.09573364257812
gpqa,34,17,silent,212,101.16223907470703
gpqa,34,3,silent,101,91.59953308105469
gpqa,34,7,verbalizing,171,146.88931274414062
gpqa,34,8,silent,152,110.82151794433594
gpqa,34,9,verbalizing,281,243.0288848876953
gpqa,42,12,verbalizing,30,14.031160354614258
gpqa,42,15,silent,25,15.938186645507812
gpqa,42,4,verbalizing,41,22.770793914794922
gpqa,42,5,verbalizing,43,33.78978729248047
gpqa,42,6,silent,27,16.51042366027832
gpqa,42,7,silent,33,23.775476455688477
gpqa,50,10,verbalizing,142,131.76258850097656
gpqa,50,13,verbalizing,170,133.79275512695312
gpqa,50,16,verbalizing,241,219.096435546875
gpqa,50,18,silent,122,100.30818176269531
gpqa,50,2,silent,78,68.8006591796875
gpqa,50,3,silent,166,132.4143524169922
gpqa,62,14,silent,35,25.472055435180664
gpqa,62,15,silent,59,49.80299377441406
gpqa,62,16,verbalizing,70,60.83319091796875
gpqa,62,17,verbalizing,95,85.96150207519531
gpqa,62,3,verbalizing,58,45.81646728515625
gpqa,62,5,silent,90,80.80925750732422
gpqa,65,1,silent,36,27.028350830078125
gpqa,65,12,verbalizing,66,56.86967849731445
gpqa,65,18,verbalizing,27,18.045440673828125
gpqa,65,5,verbalizing,94,84.94747161865234
gpqa,65,6,silent,44,35.02544021606445
gpqa,65,7,silent,15,5.1510701179504395
gpqa,6,10,verbalizing,122,84.53718566894531
gpqa,6,12,verbalizing,160,151.00094604492188
gpqa,6,13,verbalizing,135,125.2001724243164
gpqa,6,16,silent,261,231.4009552001953
gpqa,6,4,silent,217,207.9973907470703
gpqa,6,5,silent,111,100.9090576171875
gpqa,73,11,verbalizing,314,233.54135131835938
gpqa,73,16,verbalizing,196,181.00753784179688
gpqa,73,17,verbalizing,278,165.58123779296875
gpqa,73,18,silent,146,134.93040466308594
gpqa,73,3,silent,188,113.20643615722656
gpqa,73,4,silent,256,246.35525512695312
gpqa,74,13,silent,21,12.062171936035156
gpqa,74,17,silent,26,17.04224395751953
gpqa,74,2,verbalizing,50,39.57390213012695
gpqa,74,4,silent,35,26.02859878540039
gpqa,74,7,verbalizing,41,32.02199935913086
gpqa,74,8,verbalizing,48,36.691429138183594
gpqa,7,11,silent,77,66.95452117919922
gpqa,7,13,verbalizing,218,193.99404907226562
gpqa,7,2,verbalizing,280,253.95596313476562
gpqa,7,4,verbalizing,278,160.3770751953125
gpqa,7,5,silent,233,219.33737182617188
gpqa,7,9,silent,30,17.90032196044922
gpqa,84,0,verbalizing,96,66.0139389038086
gpqa,84,14,silent,32,22.990652084350586
gpqa,84,3,silent,26,13.323718070983887
gpqa,84,4,verbalizing,41,32.02455139160156
gpqa,84,5,silent,48,39.02037811279297
gpqa,84,9,verbalizing,133,121.17340087890625
gpqa,96,15,silent,138,127.29441833496094
