ds,pi,ridx,label,n,n_tokens,kurt,ent_all,ent_focused
gpqa,0,13,silent,237,3390,194.44412231445312,0.8970156311988831,0.2631099224090576
gpqa,0,14,silent,179,2710,130.9296875,0.8942901492118835,0.27464723587036133
gpqa,0,15,verbalizing,137,2271,123.30615234375,0.9093215465545654,0.33014097809791565
gpqa,0,16,verbalizing,194,3292,181.81033325195312,0.9614385366439819,0.34627431631088257
gpqa,0,17,verbalizing,142,2498,132.89962768554688,0.8866428136825562,0.1555113047361374
gpqa,0,18,verbalizing,312,8366,120.283203125,1.0272362232208252,0.35708433389663696
gpqa,0,2,verbalizing,171,2682,161.96803283691406,0.8388036489486694,0.15694323182106018
gpqa,0,4,verbalizing,189,3448,177.04269409179688,0.8818249106407166,0.30753907561302185
gpqa,0,6,verbalizing,167,3302,91.52204895019531,0.9316934943199158,0.3427017033100128
gpqa,0,9,verbalizing,151,2462,124.30082702636719,0.7962280511856079,0.2890348434448242
gpqa,101,0,verbalizing,186,4303,176.7574005126953,0.9036900997161865,0.2719133496284485
gpqa,101,1,silent,184,3586,88.63270568847656,0.9726307988166809,0.3225246071815491
gpqa,101,10,silent,244,4998,186.1936492919922,0.963050901889801,0.3249814212322235
gpqa,101,11,silent,166,3827,137.0934600830078,0.9723312258720398,0.3467405140399933
gpqa,101,12,silent,261,4945,223.56192016601562,0.9723764061927795,0.3238207697868347
gpqa,101,13,silent,138,2547,126.97831726074219,0.9426807761192322,0.2535228133201599
gpqa,101,14,silent,167,3349,132.31329345703125,0.9603297114372253,0.28511887788772583
gpqa,101,15,silent,168,3667,152.73658752441406,0.8252890110015869,0.25125598907470703
gpqa,101,16,silent,211,4785,192.84805297851562,0.9662432074546814,0.3297979533672333
gpqa,101,17,silent,148,3177,138.88949584960938,0.886990487575531,0.22289445996284485
gpqa,101,18,silent,119,2527,65.15391540527344,0.9643458724021912,0.2956307530403137
gpqa,101,19,silent,229,4780,201.14942932128906,0.9252821803092957,0.34462204575538635
gpqa,101,2,silent,89,1878,79.95289611816406,0.845474898815155,0.17777319252490997
gpqa,101,3,silent,280,5443,132.14939880371094,0.9748363494873047,0.3157385587692261
gpqa,101,4,silent,204,3582,194.53399658203125,0.9207916259765625,0.23299506306648254
gpqa,101,5,verbalizing,267,4672,108.72940826416016,0.9797385931015015,0.32836103439331055
gpqa,101,6,silent,170,3217,160.75265502929688,0.9378007054328918,0.26217013597488403
gpqa,101,7,silent,219,3886,209.9230499267578,0.9266766905784607,0.17554311454296112
gpqa,101,8,silent,176,3632,115.84147644042969,0.9781715273857117,0.26938799023628235
gpqa,101,9,verbalizing,314,5732,155.30799865722656,0.9522037506103516,0.27319473028182983
gpqa,105,0,silent,215,4372,188.66209411621094,0.9840349555015564,0.3161873519420624
gpqa,105,1,verbalizing,210,4393,153.2247314453125,0.9641557931900024,0.3286682069301605
gpqa,105,10,silent,203,4369,170.89987182617188,0.9359487891197205,0.30547890067100525
gpqa,105,11,silent,214,4331,172.02940368652344,0.8813155889511108,0.23929747939109802
gpqa,105,12,silent,197,4423,185.87364196777344,0.9758670926094055,0.31226256489753723
gpqa,105,13,verbalizing,310,6185,204.71060180664062,1.0016682147979736,0.3578021824359894
gpqa,105,14,verbalizing,255,5349,135.25466918945312,0.9775869846343994,0.3150922358036041
gpqa,105,15,verbalizing,234,5191,192.59646606445312,0.9041460156440735,0.30023717880249023
gpqa,105,16,silent,375,8130,102.45943450927734,0.9832519888877869,0.3252539336681366
gpqa,105,17,verbalizing,288,5834,148.6597442626953,0.985589325428009,0.32405218482017517
gpqa,105,18,silent,228,5147,106.10282135009766,0.976653516292572,0.30824917554855347
gpqa,105,19,silent,238,5153,130.12168884277344,0.9615218043327332,0.32478663325309753
gpqa,105,2,verbalizing,288,5593,208.11160278320312,0.9802453517913818,0.32087063789367676
gpqa,105,3,silent,293,6808,144.8791046142578,0.972185492515564,0.2924865186214447
gpqa,105,4,silent,236,4775,225.3936767578125,0.9217883944511414,0.30028003454208374
gpqa,105,5,verbalizing,227,4880,141.14845275878906,0.9770624041557312,0.31492796540260315
gpqa,105,6,silent,221,4945,99.86080169677734,0.9891975522041321,0.3217453360557556
gpqa,105,7,verbalizing,402,7393,389.83721923828125,0.9471480250358582,0.2909495532512665
gpqa,105,8,silent,271,5645,143.8491668701172,0.9940366148948669,0.3217879831790924
gpqa,105,9,silent,227,4814,139.07431030273438,0.9696204662322998,0.33416110277175903
gpqa,106,10,silent,121,2599,84.06201171875,0.8995577692985535,0.310856431722641
gpqa,106,11,silent,87,1941,59.54741287231445,0.7976514101028442,0.27600979804992676
gpqa,106,13,silent,276,5678,135.37686157226562,0.9854867458343506,0.32587629556655884
gpqa,106,14,silent,298,6271,211.00973510742188,0.9852568507194519,0.3281536400318146
gpqa,106,16,verbalizing,255,5786,151.55690002441406,0.9763524532318115,0.3383696377277374
gpqa,106,18,silent,296,5534,273.83660888671875,0.978877604007721,0.32168513536453247
gpqa,106,2,silent,79,1929,69.75904846191406,0.836633563041687,0.17771071195602417
gpqa,106,3,silent,42,1198,18.465059280395508,0.6498454213142395,0.2617050111293793
gpqa,106,5,silent,138,2934,118.7371826171875,0.9803417921066284,0.31093066930770874
gpqa,106,6,silent,142,3366,132.96121215820312,0.9193004965782166,0.2658763825893402
gpqa,106,9,verbalizing,164,3438,128.54647827148438,0.8907245397567749,0.2465636283159256
gpqa,10,0,verbalizing,48,1364,38.488197326660156,0.7101215124130249,0.1813744604587555
gpqa,10,11,silent,29,1200,20.01197052001953,0.6699766516685486,0.10096587240695953
gpqa,10,12,verbalizing,59,1903,49.90068817138672,0.7489651441574097,0.1926901638507843
gpqa,10,15,silent,117,2892,103.56324768066406,0.7898967862129211,0.25092869997024536
gpqa,10,16,verbalizing,39,1066,29.909061431884766,0.6790570616722107,0.13181699812412262
gpqa,10,17,verbalizing,261,5200,249.5161895751953,0.953684389591217,0.31563982367515564
gpqa,10,3,silent,44,1340,35.00619888305664,0.6707614660263062,0.13489243388175964
gpqa,10,4,silent,62,1714,53.01671600341797,0.7274932861328125,0.12571033835411072
gpqa,10,5,verbalizing,95,2287,85.5541763305664,0.7311815619468689,0.17004325985908508
gpqa,10,7,silent,57,1493,48.00177764892578,0.7121325135231018,0.1054535061120987
gpqa,10,9,verbalizing,45,1230,35.993865966796875,0.6799847483634949,0.16300871968269348
gpqa,112,0,silent,123,2991,114.00709533691406,0.8556734919548035,0.10562410205602646
gpqa,112,1,silent,36,1062,20.69474983215332,0.815707266330719,0.24690775573253632
gpqa,112,11,verbalizing,73,1884,58.65958786010742,0.8575780391693115,0.30977118015289307
gpqa,112,12,verbalizing,123,3267,114.00718688964844,0.9173666834831238,0.09354563057422638
gpqa,112,13,silent,64,1799,35.08913040161133,0.8000210523605347,0.24838916957378387
gpqa,112,15,silent,87,2606,76.89572143554688,0.7505303621292114,0.08293303847312927
gpqa,112,16,verbalizing,57,1447,27.771305084228516,0.8385346531867981,0.25240954756736755
gpqa,112,17,silent,40,1122,30.796566009521484,0.6467135548591614,0.2397518903017044
gpqa,112,18,silent,37,1167,25.612335205078125,0.581189751625061,0.19891786575317383
gpqa,112,19,silent,18,761,9.053532600402832,0.54832524061203,0.10244277864694595
gpqa,112,2,silent,31,947,19.07741355895996,0.7306243181228638,0.23965589702129364
gpqa,112,3,silent,47,1268,38.01953887939453,0.9020223021507263,0.268661230802536
gpqa,112,5,silent,74,1902,64.04634094238281,0.8358495235443115,0.25656917691230774
gpqa,112,6,silent,46,1560,37.01784133911133,0.7033787965774536,0.18855556845664978
gpqa,112,8,silent,22,757,12.99212646484375,0.5668491721153259,0.15234044194221497
gpqa,112,9,silent,26,864,10.486098289489746,0.6253699660301208,0.22926096618175507
gpqa,116,0,silent,120,2818,98.4858627319336,0.9567063450813293,0.2569420337677002
gpqa,116,1,silent,159,3250,149.47299194335938,0.9636019468307495,0.25982820987701416
gpqa,116,10,silent,139,3192,129.6884765625,0.9538912177085876,0.2870959937572479
gpqa,116,11,silent,75,1779,65.6161880493164,0.9147956967353821,0.30159634351730347
gpqa,116,12,silent,146,3185,136.98382568359375,0.8896332383155823,0.23086147010326385
gpqa,116,13,silent,41,1042,21.931690216064453,0.907147228717804,0.06088534742593765
gpqa,116,14,silent,119,3005,95.58820343017578,0.8443609476089478,0.24027740955352783
gpqa,116,15,silent,112,2607,102.54141998291016,0.9388337731361389,0.33181923627853394
gpqa,116,16,silent,89,1807,77.84821319580078,0.9130247235298157,0.33810490369796753
gpqa,116,17,silent,76,1597,34.0762939453125,0.8124455809593201,0.3139856457710266
gpqa,116,18,silent,165,4112,82.90833282470703,0.9026904702186584,0.3313998579978943
gpqa,116,19,silent,119,2490,104.7924575805664,0.8673030734062195,0.24099190533161163
gpqa,116,2,silent,143,3092,111.12501525878906,0.9596511721611023,0.252574622631073
gpqa,116,3,verbalizing,44,1360,20.46424674987793,0.7665834426879883,0.26956552267074585
gpqa,116,4,silent,22,774,11.921324729919434,0.683117151260376,0.24384963512420654
gpqa,116,5,silent,91,2010,67.61377716064453,0.8578414916992188,0.3107277452945709
gpqa,116,6,verbalizing,169,3588,91.58287048339844,0.9527601599693298,0.34111684560775757
gpqa,116,7,silent,75,1747,38.337791442871094,0.9016062617301941,0.33836808800697327
gpqa,116,8,silent,232,4686,222.5841064453125,0.9206640124320984,0.2887952923774719
gpqa,116,9,silent,141,2788,95.39934539794922,0.8620666265487671,0.32005590200424194
gpqa,11,1,silent,18,421,9.076252937316895,0.5423800349235535,0.10221495479345322
gpqa,11,10,silent,19,448,9.534716606140137,0.597288191318512,0.1779344528913498
gpqa,11,11,silent,26,636,17.016244888305664,0.6097084283828735,0.15848179161548615
gpqa,11,13,verbalizing,63,1282,29.24527931213379,0.6721977591514587,0.2648124694824219
gpqa,11,16,verbalizing,42,778,32.20038604736328,0.6088459491729736,0.1730310618877411
gpqa,11,18,silent,41,833,31.507427215576172,0.6353378295898438,0.18256139755249023
gpqa,11,19,silent,29,606,20.030109405517578,0.5764849185943604,0.09437732398509979
gpqa,11,2,verbalizing,82,1633,71.55724334716797,0.6332789659500122,0.16566863656044006
gpqa,11,3,silent,35,762,25.061777114868164,0.5886971950531006,0.12872065603733063
gpqa,11,4,silent,48,1119,37.39152908325195,0.681755781173706,0.2297140657901764
