ds,pi,gap,follow,nV,nS
gpqa,20000,0.125,0.125,4,0
gpqa,20001,0.26875,0.46875,14,1
gpqa,20002,0.0,0.0,0,0
gpqa,20003,0.4375,0.9375,29,1
gpqa,20004,0.0,0.0,0,0
gpqa,20005,0.0,0.0,0,0
gpqa,20006,0.0,0.0,0,0
gpqa,20007,0.69375,0.84375,21,6
gpqa,20008,0.56875,0.71875,21,2
gpqa,20009,0.8,1.0,32,0
gpqa,20010,0.90625,0.90625,28,1
gpqa,20011,0.0,0.0,0,0
gpqa,20012,0.96875,0.96875,31,0
gpqa,20013,0.30625,0.90625,17,12
gpqa,20014,0.0,0.0,0,0
gpqa,20015,0.1375,0.1875,6,0
gpqa,20016,0.0,0.0,0,0
gpqa,20017,0.0,0.0,0,0
gpqa,20018,0.60625,0.65625,19,2
gpqa,20019,0.34375,0.34375,11,0
gpqa,20020,0.0,0.0,0,0
gpqa,20021,0.15,0.25,6,2
gpqa,20022,0.17500000000000004,0.875,15,13
gpqa,20023,0.056249999999999994,0.15625,5,0
gpqa,20024,0.2375,0.4375,8,6
gpqa,20025,0.25,0.25,8,0
gpqa,20026,0.3125,0.3125,10,0
gpqa,20027,0.46875,0.71875,23,0
gpqa,20028,0.15625,0.15625,4,1
gpqa,20029,0.0,0.0,0,0
gpqa,20030,0.08750000000000002,0.4375,12,2
gpqa,20031,0.0625,0.0625,2,0
gpqa,20032,0.66875,0.96875,30,1
gpqa,20033,0.40625,0.40625,12,1
gpqa,20034,0.81875,0.96875,31,0
gpqa,20035,0.09375,0.34375,10,1
gpqa,20036,0.21250000000000002,0.8125,26,0
gpqa,20037,0.0625,0.0625,2,0
gpqa,20038,0.03125,0.03125,1,0
gpqa,20039,0.7625,0.8125,26,0
gpqa,20040,0.0,0.0,0,0
gpqa,20041,0.0,0.0,0,0
gpqa,20042,0.10625,0.15625,3,2
gpqa,20043,0.15625,0.15625,4,1
gpqa,20044,0.28125,0.28125,9,0
gpqa,20045,0.28125,0.28125,9,0
gpqa,20046,0.0,0.0,0,0
gpqa,20047,-0.025000000000000022,0.375,11,1
gpqa,20048,0.66875,0.71875,21,2
gpqa,20049,0.03125,0.03125,1,0
gpqa,20050,0.35,0.5,13,3
gpqa,20051,0.0,0.0,0,0
gpqa,20052,0.125,0.125,4,0
gpqa,20053,0.09375,0.09375,3,0
gpqa,20054,0.3875,0.6875,21,1
gpqa,20055,0.03125,0.03125,1,0
gpqa,20056,0.0625,0.0625,2,0
gpqa,20057,0.0,0.0,0,0
gpqa,20058,0.0,0.0,0,0
gpqa,20059,0.21875,0.21875,7,0
gpqa,20060,0.09375,0.09375,3,0
gpqa,20061,0.84375,0.84375,27,0
gpqa,20062,0.0,0.0,0,0
gpqa,20063,0.09375,0.09375,2,1
gpqa,20064,0.25,0.25,8,0
gpqa,20065,0.0625,0.0625,2,0
gpqa,20066,0.0,0.0,0,0
gpqa,20067,0.0,0.0,0,0
gpqa,20068,0.0,0.0,0,0
gpqa,20069,0.6875,0.6875,22,0
gpqa,20070,0.0,0.0,0,0
gpqa,20071,0.8,1.0,32,0
gpqa,20072,0.0,0.0,0,0
gpqa,20073,0.0,0.0,0,0
gpqa,20074,0.03125,0.03125,1,0
gpqa,20075,0.9,1.0,32,0
gpqa,20076,0.40625,0.40625,13,0
gpqa,20077,0.125,0.125,3,1
gpqa,20078,0.4375,0.4375,12,2
gpqa,20079,0.0,0.0,0,0
gpqa,20080,0.46875,0.46875,15,0
gpqa,20081,0.050000000000000044,1.0,30,2
gpqa,20082,0.0,0.0,0,0
gpqa,20083,0.34375,0.34375,11,0
gpqa,20084,0.0,0.0,0,0
gpqa,20085,0.0625,0.0625,2,0
gpqa,20086,0.1875,0.1875,5,1
gpqa,20087,0.0,0.0,0,0
