ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30448,0.0,1.0,-0.35,0,0,0.0,False
gpqa_extended,30449,0.09375,1.0,0.0,2,1,0.09375,False
gpqa_extended,30450,0.0,0.0,0.25,0,0,0.0,False
gpqa_extended,30451,0.0,0.625,-0.475,0,0,0.0,False
gpqa_extended,30452,0.075,0.0,0.0,0,4,0.125,False
gpqa_extended,30453,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30454,0.25,0.375,-0.025000000000000022,5,3,0.25,False
gpqa_extended,30455,-0.0625,0.125,-0.024999999999999994,0,6,0.1875,False
gpqa_extended,30456,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30457,0.16875,0.0,0.0,4,3,0.21875,False
gpqa_extended,30458,0.0,0.25,0.0,0,0,0.0,False
gpqa_extended,30459,0.525,0.0,0.5,1,27,0.875,False
gpqa_extended,30460,0.1875,0.0,0.0,3,3,0.1875,False
gpqa_extended,30461,0.46875,0.0,0.25,11,4,0.46875,False
gpqa_extended,30462,0.0,0.125,0.525,0,0,0.0,False
gpqa_extended,30463,0.0,0.625,-0.625,0,0,0.0,False
gpqa_extended,30464,0.0,0.5,0.5,0,0,0.0,False
gpqa_extended,30465,0.6375,0.125,0.325,11,19,0.9375,True
gpqa_extended,30466,0.0,0.125,0.42500000000000004,0,0,0.0,False
gpqa_extended,30467,-0.11249999999999999,0.625,-0.625,2,4,0.1875,False
gpqa_extended,30468,-0.018750000000000003,0.875,0.025000000000000022,0,1,0.03125,False
gpqa_extended,30469,0.0,0.5,0.5,0,0,0.0,False
gpqa_extended,30470,0.0,0.0,0.35,0,0,0.0,False
gpqa_extended,30471,0.09375,0.625,-0.575,3,0,0.09375,False
gpqa_extended,30472,0.075,0.5,0.09999999999999998,0,4,0.125,False
gpqa_extended,30473,0.0,0.0,0.0,0,32,1.0,False
gpqa_extended,30474,-0.018750000000000003,0.0,0.9,1,0,0.03125,False
gpqa_extended,30475,0.2,0.125,0.125,9,7,0.5,False
gpqa_extended,30476,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30477,0.03125,0.125,-0.024999999999999994,1,0,0.03125,False
gpqa_extended,30478,0.0,0.75,-0.050000000000000044,0,0,0.0,False
gpqa_extended,30479,0.0,0.0,0.3,0,0,0.0,False
gpqa_extended,30480,0.0,0.75,0.19999999999999996,0,0,0.0,False
gpqa_extended,30481,-0.018750000000000003,0.0,0.7,0,1,0.03125,False
gpqa_extended,30482,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30483,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30484,0.0,0.375,0.625,0,0,0.0,False
gpqa_extended,30485,0.6375,0.0,0.0,24,6,0.9375,False
gpqa_extended,30486,-0.0062500000000000056,0.0,0.7,0,3,0.09375,False
gpqa_extended,30487,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30488,0.84375,0.125,-0.125,12,15,0.84375,False
gpqa_extended,30489,0.09375,0.0,0.9,1,2,0.09375,False
gpqa_extended,30490,0.86875,0.5,0.19999999999999996,23,8,0.96875,False
gpqa_extended,30491,-0.018750000000000003,1.0,-0.050000000000000044,1,0,0.03125,False
gpqa_extended,30492,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30493,0.03125,0.75,0.25,0,1,0.03125,False
gpqa_extended,30494,0.125,0.875,0.07499999999999996,0,4,0.125,False
gpqa_extended,30495,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30496,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30497,0.825,0.0,0.3,10,18,0.875,True
gpqa_extended,30498,0.5625,0.875,-0.32499999999999996,14,4,0.5625,False
gpqa_extended,30499,0.7125,0.0,0.05,6,20,0.8125,False
gpqa_extended,30500,0.0625,0.0,0.0,0,2,0.0625,False
gpqa_extended,30501,0.0,0.0,0.55,0,0,0.0,False
gpqa_extended,30502,0.125,0.125,0.575,7,5,0.375,False
gpqa_extended,30503,0.025000000000000022,0.125,0.175,2,10,0.375,False
gpqa_extended,30504,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30505,0.5625,0.0,0.85,6,12,0.5625,True
gpqa_extended,30506,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30507,0.0,0.875,0.125,0,0,0.0,False
gpqa_extended,30508,0.15625,0.0,0.45,5,8,0.40625,False
gpqa_extended,30509,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30510,0.15625,0.0,1.0,1,4,0.15625,False
gpqa_extended,30511,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30512,0.2125,0.125,0.22499999999999998,4,6,0.3125,False
gpqa_extended,30513,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30514,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30515,0.0,0.75,-0.75,0,0,0.0,False
gpqa_extended,30516,0.03125,0.0,1.0,0,1,0.03125,False
gpqa_extended,30517,-0.05,0.625,0.32499999999999996,0,0,0.0,False
gpqa_extended,30518,0.19999999999999996,0.125,-0.024999999999999994,0,32,1.0,False
gpqa_extended,30519,0.09375,0.375,0.475,2,1,0.09375,False
gpqa_extended,30520,0.0,0.875,0.125,0,0,0.0,False
gpqa_extended,30521,0.1875,1.0,-1.0,6,0,0.1875,False
gpqa_extended,30522,0.0,0.75,0.15000000000000002,0,0,0.0,False
gpqa_extended,30523,0.0,0.125,0.575,0,0,0.0,False
gpqa_extended,30524,-0.09999999999999998,0.0,0.6,0,8,0.25,False
gpqa_extended,30525,0.0625,0.75,-0.75,0,2,0.0625,False
gpqa_extended,30526,0.0,0.625,0.32499999999999996,0,0,0.0,False
gpqa_extended,30527,0.1375,0.0,0.15,2,12,0.4375,False
gpqa_extended,30528,0.13124999999999998,0.125,-0.075,3,14,0.53125,False
gpqa_extended,30529,0.45625,0.0,0.1,0,21,0.65625,False
gpqa_extended,30530,0.10625,0.0,0.0,2,3,0.15625,False
gpqa_extended,30531,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30532,0.15000000000000002,0.0,0.0,15,17,1.0,False
gpqa_extended,30533,0.09375,0.25,0.09999999999999998,1,2,0.09375,False
gpqa_extended,30534,0.1375,0.375,-0.025000000000000022,1,13,0.4375,False
gpqa_extended,30535,-0.05,0.375,0.575,0,0,0.0,False
gpqa_extended,30536,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30537,0.0625,0.0,0.0,1,1,0.0625,False
gpqa_extended,30538,0.29375,0.0,0.05,6,5,0.34375,False
gpqa_extended,30539,0.0,0.375,0.625,0,0,0.0,False
gpqa_extended,30540,0.25,0.5,0.44999999999999996,0,8,0.25,False
gpqa_extended,30541,0.36875,0.25,0.65,9,6,0.46875,False
gpqa_extended,30542,0.125,0.625,0.375,3,1,0.125,False
gpqa_extended,30543,0.175,0.375,0.07500000000000001,4,8,0.375,False
gpqa_extended,30544,0.1875,0.0,0.3,5,1,0.1875,False
gpqa_extended,30545,0.3,0.125,0.275,0,16,0.5,False
gpqa_extended,30546,0.03125,0.125,0.625,1,0,0.03125,False
gpqa_extended,30547,-0.05,0.0,0.05,0,0,0.0,False
gpqa_extended,30548,0.3375,0.25,0.04999999999999999,0,30,0.9375,False
gpqa_extended,30549,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30550,0.3125,0.375,-0.025000000000000022,10,0,0.3125,False
gpqa_extended,30551,0.19999999999999996,0.375,-0.375,10,22,1.0,False
gpqa_extended,30552,0.06874999999999998,0.125,0.175,0,23,0.71875,False
gpqa_extended,30553,0.0,0.25,0.65,0,0,0.0,False
gpqa_extended,30554,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30555,0.125,0.25,0.44999999999999996,1,3,0.125,False
gpqa_extended,30556,0.0625,0.0,0.3,0,2,0.0625,False
gpqa_extended,30557,0.0,0.375,0.375,0,0,0.0,False
gpqa_extended,30558,0.0,0.25,0.7,0,0,0.0,False
gpqa_extended,30559,0.0,0.25,0.55,0,0,0.0,False
gpqa_extended,30560,0.0,0.125,0.775,0,0,0.0,False
gpqa_extended,30561,-0.08125000000000004,0.375,-0.225,4,19,0.71875,False
gpqa_extended,30562,0.0,0.375,0.575,0,0,0.0,False
gpqa_extended,30563,0.125,0.0,0.15,1,3,0.125,False
gpqa_extended,30564,0.9375,0.0,0.15,21,9,0.9375,False
gpqa_extended,30565,0.0,0.25,0.7,0,0,0.0,False
gpqa_extended,30566,0.08125000000000004,0.0,0.25,5,20,0.78125,False
gpqa_extended,30567,0.03125,0.375,0.525,0,1,0.03125,False
gpqa_extended,30568,0.0,0.875,0.125,0,0,0.0,False
gpqa_extended,30569,0.2625,0.0,0.05,3,7,0.3125,False
gpqa_extended,30570,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30571,0.0,0.375,-0.325,0,0,0.0,False
gpqa_extended,30572,0.26875,0.0,0.2,3,12,0.46875,False
gpqa_extended,30573,0.2,0.25,0.6,7,1,0.25,False
gpqa_extended,30574,0.0,0.25,0.5,0,0,0.0,False
gpqa_extended,30575,-0.07500000000000001,1.0,-0.75,1,3,0.125,False
gpqa_extended,30576,0.7125,0.0,0.0,21,5,0.8125,False
gpqa_extended,30577,0.0,0.0,0.0,0,0,0.0,False
gpqa_extended,30578,0.15625,0.25,0.4,3,2,0.15625,False
gpqa_extended,30579,0.21875,0.0,0.05,6,1,0.21875,False
gpqa_extended,30580,0.3125,0.375,-0.025000000000000022,3,15,0.5625,False
gpqa_extended,30581,-0.0062500000000000056,0.0,0.15,0,3,0.09375,False
gpqa_extended,30582,0.012499999999999997,1.0,-0.15000000000000002,0,2,0.0625,False
gpqa_extended,30583,0.03125,0.0,0.25,1,0,0.03125,False
gpqa_extended,30584,0.29375,0.0,0.6,6,5,0.34375,False
gpqa_extended,30585,0.0,0.0,0.55,0,0,0.0,False
gpqa_extended,30586,0.0,0.875,0.125,0,0,0.0,False
gpqa_extended,30587,0.0,0.375,0.525,0,0,0.0,False
gpqa_extended,30588,-0.0625,0.0,0.65,1,5,0.1875,False
gpqa_extended,30589,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30590,0.1875,0.0,0.35,0,6,0.1875,False
gpqa_extended,30591,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30592,0.29375,0.0,0.85,6,5,0.34375,False
gpqa_extended,30593,0.0,0.125,0.875,0,0,0.0,False
gpqa_extended,30594,0.0,0.0,0.25,0,0,0.0,False
gpqa_extended,30595,0.15625,0.25,0.0,1,4,0.15625,False
gpqa_extended,30596,0.23125,0.25,-0.2,0,9,0.28125,False
gpqa_extended,30597,0.46875,0.0,1.0,8,7,0.46875,False
gpqa_extended,30598,0.0,0.25,0.7,0,0,0.0,False
gpqa_extended,30599,0.0625,0.125,0.825,0,2,0.0625,False
gpqa_extended,30600,0.0,0.75,0.25,0,0,0.0,False
gpqa_extended,30601,0.024999999999999994,0.0,0.1,2,2,0.125,False
gpqa_extended,30602,0.056249999999999994,0.75,0.15000000000000002,0,5,0.15625,False
gpqa_extended,30603,0.125,0.25,0.65,1,3,0.125,False
gpqa_extended,30604,0.03125,0.0,0.7,1,0,0.03125,False
gpqa_extended,30605,0.25,0.0,0.0,6,2,0.25,False
gpqa_extended,30606,0.30625,0.0,0.0,10,3,0.40625,False
gpqa_extended,30607,-0.024999999999999994,0.75,-0.19999999999999996,1,3,0.125,False
gpqa_extended,30608,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30609,0.23125,0.0,0.0,6,3,0.28125,False
gpqa_extended,30610,0.0625,0.0,0.75,1,1,0.0625,False
gpqa_extended,30611,0.018750000000000044,0.0,0.0,31,0,0.96875,False
gpqa_extended,30612,0.125,0.125,0.775,4,0,0.125,False
gpqa_extended,30613,0.0,0.0,0.4,0,0,0.0,False
gpqa_extended,30614,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30615,0.0,0.125,0.825,0,0,0.0,False
